SLNO,numPS,namePSe,namePSh,PART_CATEGORY,PART_LAT_LONG,latPS,longPS,acPS
1,1,COMPOSIT VIDYALAYA SARSAWA R.NO.1,कम्‍पोजिट विद्यालय सरसवां क0सं0 1,U,25.391504281022176-82.94655606150626,25.3918718,82.9456269,386
2,2,COMPOSIT VIDYALAYA SARSAWA R.NO.2,कम्‍पोजिट विद्यालय सरसवां क0सं0 2,U,25.386896053833116-82.94259645044802,25.3911367,82.94534,386
3,3,COMPOSIT VIDYALAYA SARSAWA R.NO.3,कम्‍पोजिट विद्यालय सरसवां क0सं0 3,U,25.38954155031358-82.9516676813364,25.3910151,82.9450337,386
4,4,PRATHMIK VIDYALAYA LODHAN R.NO.1,प्राथमिक विद्यालय लोढ़ान क0सं0 1,U,25.378574508160767-82.96107485890388,25.3804383,82.9597504,386
5,5,PRATHMIK VIDYALAYA LODHAN R.NO.2,प्राथमिक विद्यालय लोढ़ान क0सं0 2,U,25.38294587499839-82.96006768941879,25.3804702,82.9596897,386
6,6,PRATHMIK VIDYALAYA KANUDIH R.NO.1,प्राथमिक विद्यालय कानूडीह क0सं0 1,U,-0.020328126,25.3873391,82.9552602,386
7,7,PRATHMIK VIDYALAYA KANUDIH R.NO.- 2,प्राथमिक विद्यालय कानूहीड क0सं0 2,U,25.39053140059176-82.9612884297967,25.38732,82.9552217,386
8,8,PRATHMIK VIDYALAYA DANDUPUR R.NO 1,प्राथमिक विद्यालय दान्‍दूपुर क0स0 1,U,25.38728527924451-82.95554347336292,25.3887828,82.9641372,386
9,9,PRATHMIK VIDYALAYA DANDUPUR R.NO 2,प्राथमिक विद्यालय दान्‍दूपुर क0स0 2,U,25.38786926645745-82.96436190605162,25.3874462,82.9642786,386
10,10,PRATHMIK VIDYALAYA GANESHPUR R.NO. 1,प्राथमिक विद्यालय गनेशपुर क0सं0 1,U,25.386814876702033-82.96715039759874,25.372423,82.9344694,386
11,11,PRATHMIK VIDYALAYA GANESHPUR R.NO.- 2,प्राथमिक विद्यालय गनेशपुर क0सं0 2,U,25.368245385779204-82.92901609092951,25.3722421,82.9340893,386
12,12,PRATHMIK VIDYALAYA HOLAPUR R.NO.-1,प्राथमिक विद्यालय होलापुर क0सं0 1,U,25.37310424564066-82.93150316923858,25.37706,82.95301,386
13,13,PRATHMIK VIDYALAYA HOLAPUR R.NO.-2,प्राथमिक विद्यालय होलापुर क0सं0 2,U,25.37539470966216-82.93318189680576,25.3771053,82.9527588,386
14,14,PURVA MADHYAMIK VIDYALAYA CHUPPEYPUR DEHAT R.NO.-1,पूर्व माध्‍यमिक विद्यालय चुप्‍पेपुर देहात क0सं0 1,U,25.375545567955637-82.9516676813364,25.3753027,82.9466696,386
15,15,PURVA MADHYAMIK VIDYALAYA CHUPPEYPUR DEHAT R.NO.-2,पूर्व माध्‍यमिक विद्यालय चुप्‍पेपुर देहात क0सं0 2,U,25.37873081504527-82.94898211956026,25.3757546,82.944459,386
